card,money,cash_type_card,cash_type_cash,coffee_name_Americano,coffee_name_Americano with Milk,coffee_name_Cappuccino,coffee_name_Cocoa,coffee_name_Cortado,coffee_name_Espresso,coffee_name_Hot Chocolate,coffee_name_Latte
ANON-0000-0000-0001,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0002,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0002,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0003,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0004,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0005,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0006,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0007,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0008,1.413455698621417,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0008,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0009,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0010,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1.677723668642472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0011,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0012,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0013,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0014,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0004,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1.677723668642472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0015,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0016,-0.5787182292296158,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANON-0000-0000-0012,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0017,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0018,1.413455698621417,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0019,-0.5787182292296158,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANON-0000-0000-0020,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0020,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0020,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0001,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0021,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0012,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0022,-1.5748051931551315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANON-0000-0000-0001,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0023,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0024,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0025,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0026,1.413455698621417,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0027,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0009,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0028,-0.5787182292296158,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANON-0000-0000-0028,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,0.6613083993307208,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0012,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0012,-0.5787182292296158,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANON-0000-0000-0029,1.413455698621417,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0029,1.413455698621417,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,1.677723668642472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0030,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0031,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,1.677723668642472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0032,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0033,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0012,-0.5787182292296158,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ANON-0000-0000-0034,1.413455698621417,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0035,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0012,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0033,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0012,0.41736873469589997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ANON-0000-0000-0036,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANON-0000-0000-0037,1.413455698621417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,1.677723668642472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ANON-0000-0000-0038,-1.5748051931551315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANON-0000-0000-0039,-0.5787182292296158,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
